Ben INC 5000 CSV Export (8-26-2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,rank,workers,name,url,state_l,state_s,city,metro,growth,revenue,industry,yrs_on_list,ifc_company,ifc_filelocation,ifc_founded,ifc_business_model,ifc_url,ifc_city,ifc_state,ifc_twitter_handle,state_rank,metro_rank,industry_rank,current_industry_rank,ifi_industry,app_employ_lastyear,app_employ_fouryearsago,app_revenues_lastyear,app_revenues_fouryearsago,city_display_name,industry_id,metro_id,,
25527,37,53,OpenRoad Lending,openroad-lending,Texas,TX,North Richland Hills,Dallas,6603.3722,8853881,Financial Services,0,OpenRoad Lending,openroad-lending,1/1/09,"A Web-based, direct-to-consumer auto finance company that offers loans for purchasing new or used cars and refinancing existing auto loans.",http://www.OpenRoadLending.com,North Richland Hills,TX,,3,3,6,37,Financial Services,53,4,8853881,132081,Dallas,2,8,,
25755,38,25,Pontchartrain Partners,pontchartrain-partners,Louisiana,LA,New Orleans,"New Orleans-Metairie-Kenner, LA",6535.0538,10545091,Government Services,0,Pontchartrain Partners,pontchartrain-partners,1/1/09,"Originally founded to help rebuild New Orleans' flood protection system following Hurricane Katrina, Pontchartrain Partners has expanded to provide heavy civil construction, roadways and bridges, mechanical, marine, and coastal restoration services to local, state, and federal government clients.",http://www.PontchPartners.com,New Orleans,LA,,1,0,2,38,Government Services,25,3,10545091,158930,,7,33,,
25634,39,1,Team Extreme Marketing International,team-extreme-marketing-international,Maryland,MD,Chevy Chase,"Washington, DC",6369.1921,6772856,Consumer Products & Services,0,Team Extreme Marketing International,team-extreme-marketing-international,1/1/06,Sells consumer products--ranging from software and electronics to supplements and jewelry--through a variety of niche websites.,http://www.TeamExtremeMarketing.com,Chevy Chase,MD,,1,3,5,39,Consumer Products & Services,1,1,6772856,104694,"Washington, DC",4,3,,
25306,40,4,Choice Energy,choice-energy,Iowa,IA,Des Moines,"Des Moines-West Des Moines, IA",6020.9548,20894369,Energy,0,Choice Energy,choice-energy,1/1/10,"Supplies electricity to residential and commercial customers, and is currently licensed to conduct business in Connecticut, Ohio, New Jersey, Pennsylvania, Illinois, Massachusetts, and Maine.",http://www.4ChoiceEnergy.com,Des Moines,IA,,1,0,4,40,Energy,4,4,20894369,341358,,16,161,,
26117,41,24,ReviMedia,revimedia,New York,NY,New York,New York City,5817.1289,5963105,Advertising & Marketing,0,ReviMedia,revimedia,1/1/10,"Offers lead-generation software that features lead scoring, automated optimizations, and analytics for the insurance, automotive, and home security industries.",http://www.ReviMedia.com,New York,NY,,2,3,3,41,Advertising & Marketing,24,3,5963105,100777,New York City,5,9,,
26490,42,96,SmartZip Analytics,smartzip-analytics,California,CA,Pleasanton,San Francisco,5811.3568,11396150,Software,0,SmartZip Analytics,smartzip-analytics,1/1/09,Offers analytics-powered targeting marketing services for real estate and related industries.,http://www.SmartZip.com,Pleasanton,CA,,8,3,2,42,Software,96,23,11396150,192784,San Francisco,9,4,,
25659,43,48,Thompson Gray,thompson-gray,Alabama,AL,Huntsville,"Huntsville, AL",5752.5251,14104761,Government Services,0,Thompson Gray,thompson-gray,1/1/08,"Provides programmatic, financial, and IT support to department of defense clients, with particular expertise in GFEBS (general fund enterprise business system) implementation and training.",http://www.ThompsonGrayInc.com,Huntsville,AL,,2,0,3,43,Government Services,48,12,14104761,241003,,7,69,,
26179,44,147,MCSG Technologies,mcsg-technologies,Oklahoma,OK,Norman,"Oklahoma City, OK",5715.2859,7686703,IT Services,0,MCSG Technologies,mcsg-technologies,1/1/05,Specializes in IT support and professional services within the government sector as well as various commercial industry sectors.,http://www.MCSGCorp.com,Norman,OK,,1,0,3,44,IT Services,147,1,7686703,132181,,8,38,,
25965,45,20,Innovative Surveillance Solutions,innovative-surveillance-solutions,Texas,TX,Tyler,"Tyler, TX",5604.7826,10247444,Security,0,Innovative Surveillance Solutions,innovative-surveillance-solutions,1/1/06,"Provides on-site safety technicians, operations instructors, and investigators in the areas of surveillance, internal theft, compliance, and security for oil and gas, retail, and industrial clients.",http://www.InnovativeSurveillance.com,Tyler,TX,,4,0,1,45,Security,20,3,10247444,179629,,13,404,,
25677,46,379,Nordic,nordic,Wisconsin,WI,Madison,"Madison, WI",5593.0143,81410104,Health,0,Nordic,nordic,1/1/10,Provides electronic medical record consultation services to healthcare organizations that use Epic software applications.,http://www.NordicWI.com,Madison,WI,,2,0,8,46,Health,379,23,81410104,1430000,,10,78,,
25385,47,40,Michigan Realty Solutions,michigan-realty-solutions,Michigan,MI,Richmond,Detroit,5530.8057,6178120,Real Estate,0,Michigan Realty Solutions,michigan-realty-solutions,1/1/04,"A real estate brokerage, property management, and construction company that operates in five states and focuses exclusively on clean-up and redevelopment of foreclosed properties.",http://www.MichiganRealtySolutions.com,Richmond,MI,,2,2,1,47,Real Estate,40,3,6178120,109720,Detroit,3,50,,
25931,48,17,Ohio Investments,ohio-investments,Ohio,OH,Enon,"Springfield, OH",5507.4529,23809245,Real Estate,0,Ohio Investments,ohio-investments,1/1/08,"Buys, fixes, and sells single-family properties in 37 states.",http://www.OhioInvestmentsLLC.com,Enon,OH,,1,0,2,48,Real Estate,17,2,23809245,424600,,3,372,,
25654,49,30,Adore Me,adore-me,New York,NY,New York,New York City,5505.55,5637838,Retail,0,Adore Me,adore-me,1/1/10,Sells affordable lingerie online and offers easy exchanges and returns.,http://www.AdoreMe.com,New York,NY,,3,4,2,49,Retail,30,2,5637838,100576,New York City,18,9,,
26146,50,35,IQ Formulations,iq-formulations,Florida,FL,Sunrise,Miami,5486.2116,8269660,Health,0,IQ Formulations,iq-formulations,1/1/10,Supplies nutritional supplements to sports and fitness enthusiasts.,http://www.IQFormulations.com,Sunrise,FL,,5,2,9,50,Health,35,2,8269660,148037,Miami,10,1,,
26092,51,32,MAX Digital,max-digital,Illinois,IL,Chicago,Chicago,5483.1298,6577541,Software,0,MAX Digital,max-digital,1/1/10,Develops cloud-based digital marketing and retailing software for the automotive industry.,http://www.MAXDigital.com,Chicago,IL,,1,1,3,51,Software,32,15,6577541,117811,Chicago,9,17,,
25699,52,50,MaxHome,maxhome,Louisiana,LA,New Orleans,"New Orleans-Metairie-Kenner, LA",5438.9673,5792929,Construction,0,MaxHome,maxhome,1/1/09,"Specializes in home remodeling, including bathrooms, windows, insulation, patios, and sun rooms.",http://www.MaxHomeNow.com,New Orleans,LA,,2,0,1,52,Construction,50,3,5792929,104585,,20,33,,
17948,53,1106,Alex and Ani,alex-and-ani,Rhode Island,RI,Cranston,"Providence-New Bedford-Fall River, RI-MA",5220.9165,230109687,Retail,4,Alex and Ani,alex-and-ani,2004-00-00,"Sells its own collections of bangles, necklaces and other jewelry, as well as licensed products with major league sports team logos, made from recycled materials and using local manufacturers.",http://www.alexandani.com,Cranston,RI,,1,0,3,53,Retail,1106,33,230109687,4324625,,18,55,,
25453,54,46,Crowdtap,crowdtap,New York,NY,New York,New York City,5217.2043,6261593,Advertising & Marketing,0,Crowdtap,crowdtap,1/1/09,"A SaaS-based social influence marketing platform that enables marketers to inspire consumers to create content, drive social activity, and provide real-time insights.",http://corp.crowdtap.com/,New York,NY,,4,5,4,54,Advertising & Marketing,46,9,6261593,117761,New York City,5,9,,
25107,55,30,Compass Automation,compass-automation,Illinois,IL,Elgin,Chicago,5214.2331,5703235,Manufacturing,0,Compass Automation,compass-automation,1/1/07,"Designs and builds custom manufacturing equipment, including high tolerance inspection machines, material handling systems, and robotic finishing lines, used to make jet engines, printed circuit boards, drive shafts, plastic bottles, and other products.",http://www.Compass-Automation.com,Elgin,IL,,2,2,1,55,Manufacturing,30,8,5703235,107320,Chicago,15,17,,
25445,56,35,Multifamily Utility,multifamily-utility,California,CA,San Diego,San Diego,5196.0656,5757194,Real Estate,0,Multifamily Utility,multifamily-utility,1/1/07,"A utility submetering and billing company that specializes in submetering and allocation of water, gas, and electric utilities for apartments, condominiums, commercial buildings, new construction, mobile homes, and military housing throughout the United States.",http://www.MultifamilyUtility.com,San Diego,CA,,9,1,3,56,Real Estate,35,4,5757194,108707,San Diego,3,11,,
21041,57,19,The Joint,the-joint,Arizona,AZ,Scottsdale,Phoenix,5139.4732,5958067,Health,2,The Joint,the-joint,1999-00-00,"A nationwide franchise of chiropractic care clinics specializing in affordable, easily accessible professional health services. The Joint focuses on encouraging patients to adopt regular chiropractic care into their wellness regimen. It has more than 220 clinics open and 450 in development across 30 states.",http://www.thejoint.com,Scottsdale,AZ,,5,5,10,57,Health,19,5,5958067,113715,Phoenix,10,46,,
26233,58,70,Bizness Apps,bizness-apps,California,CA,San Francisco,San Francisco,5078.5874,6178728,Software,0,Bizness Apps,bizness-apps,1/1/10,"A do-it-yourself iPhone, iPad, Android, and HTML5 app platform that allows any small business to create, edit, and manage mobile apps and mobile websites online without any programming expertise.",http://www.BiznessApps.com,San Francisco,CA,,10,4,4,58,Software,70,3,6178728,119313,San Francisco,9,4,,
25846,59,59,EcoSense Lighting,ecosense-lighting,California,CA,Los Angeles,Los Angeles,5059.1489,15363997,Manufacturing,0,EcoSense Lighting,ecosense-lighting,1/1/08,Manufactures advanced LED lighting systems for architectural and commercial applications.,http://www.EcoSenseLighting.com,Los Angeles,CA,,11,5,2,59,Manufacturing,59,10,15363997,297801,Los Angeles,15,2,,
26043,60,61,PhotoBin,photobin,California,CA,San Diego,San Diego,5003.4376,6385268,Consumer Products & Services,0,PhotoBin,photobin,1/1/08,"Develops products to help people preserve, archive, manage, share, organize, and print their multi-format photo and video collections.",http://www.PhotoBin.com,San Diego,CA,,12,2,6,60,Consumer Products & Services,61,14,6385268,125117,San Diego,4,11,,
25914,61,44,PMG Worldwide,pmg-worldwide,Texas,TX,Fort Worth,Dallas,5000.4026,5764577,Advertising & Marketing,0,PMG Worldwide,pmg-worldwide,1/1/10,"A full-service digital agency that cultivates brands online utilizing digital media, social media, e-commerce usability, information architecture (IA), and creative design.",http://www.pmg.co,Fort Worth,TX,,5,4,5,61,Advertising & Marketing,44,5,5764577,113022,Dallas,5,8,,
21105,62,19,Victor Securities,victor-securities,New Jersey,NJ,Englewood,New York City,4897.024,6494832,Financial Services,2,Victor Securities,victor-securities,2007-00-00,Provides brokerage services such as risk management and portfolio reporting to professional investors.,http://www.victorsecurities.com,Englewood,NJ,,2,6,7,62,Financial Services,19,2,6494832,129974,New York City,2,9,,
24951,63,89,eLan Technologies,elan-technologies,Texas,TX,Irving,Dallas,4863.7089,9149555,IT Services,0,eLan Technologies,elan-technologies,2006-00-00,"Provides IT consulting, staffing, and outsourcing services, including virtualization and cloud computing.",http://www.eLanTecs.com,Irving,TX,,6,5,4,63,IT Services,89,7,9149555,184329,Dallas,8,8,,
25166,64,41,Centennial Lending Group,centennial-lending-group,Pennsylvania,PA,Maple Glen,Philadelphia,4845.0294,166889598,Financial Services,0,Centennial Lending Group,centennial-lending-group,1/1/10,"Processes, underwrites, and funds mortgages for home buying and refinancing.",http://www.CLG-LLC.com,Maple Glen,PA,,2,1,8,64,Financial Services,41,5,166889598,3374896,Philadelphia,2,49,,
26157,65,143,Tough Mudder,tough-mudder,New York,NY,Brooklyn,New York City,4737.5104,107900476,Health,0,Tough Mudder,tough-mudder,1/1/09,"Operates 10-12 mile obstacle course challenges that test strength, stamina, and determination and foster camaraderie. It will host more than 50 events globally in 2014.",http://www.ToughMudder.com,Brooklyn,NY,,5,7,11,65,Health,143,6,107900476,2230496,New York City,10,9,,
21440,66,40,Netcom3 Global,netcom3-global,California,CA,Laguna Niguel,Los Angeles,4724.7797,30058088,Software,2,Netcom3 Global,netcom3-global,2001-00-00,"Develops, markets and licenses Internet security, PC optimization software, mobile security and data backup as well as providing premium technology support services.",http://www.netcom3global.com,Laguna Niguel,CA,,13,6,5,66,Software,40,6,30058088,622994,Los Angeles,9,2,,
26204,67,3,Gideon Services,gideon-services,Alabama,AL,Huntsville,"Huntsville, AL",4723.0413,23252268,Government Services,0,Gideon Services,gideon-services,1/1/08,"Provides technical, supply, and logistics support services to military and government customers.",http://www.Gideon-Services.com,Huntsville,AL,,3,0,4,67,Government Services,3,1,23252268,482108,,7,69,,
22983,68,34,Viderity,viderity,District of Columbia,DC,Washington,"Washington, DC",4722.8947,18327000,Government Services,1,Viderity,viderity,2007-00-00,"Provides government agencies and commercial business with technology design, development and management services, including logos and branding, building websites and creating custom apps.",http://www.viderity.com,Washington,DC,,1,4,5,68,Government Services,34,6,18327000,380000,"Washington, DC",7,3,,
25774,69,37,Affectiva,affectiva,Massachusetts,MA,Waltham,Boston,4676.4588,5017670,Software,0,Affectiva,affectiva,1/1/09,"Develops a platform used by app developers, corporations, market researchers, ad agencies, and entertainment and media publishers that analyzes facial expressions to measure consumers' emotional engagement.",http://www.Affdex.com,Waltham,MA,,2,2,6,69,Software,37,14,5017670,105050,Boston,9,6,,
